Order_ID,Order_Date,Delivery_Date,Region,Country,City,Product_Name,Supplier_Name,Warehouse,Order_Quantity,Unit_Price,Revenue,Shipping_Cost,Manufacturing_Cost,Profit,Lead_Time_Days,Inventory_Level,Reorder_Level,Stockout_Flag,Defect_Rate,Order_Status,Delivery_Days,Profit_Margin,Delay_Flag,Order_Month,Order_Year,Inventory_Status
ORD00001,2025-10-16,2025-10-19,West,India,Hyderabad,Laptop,Supplier B,Warehouse 1,48,663,31824,1656.13,14061.8,16106.07,3,379,119,No,1.27,Delivered,3,50.60982277526394,On Time,October,2025,Sufficient
ORD00002,2025-06-01,2025-06-12,North,USA,Bangalore,Tablet,Supplier C,Warehouse 1,36,507,18252,1723.75,11140.98,5387.27,11,229,125,No,3.65,Cancelled,11,29.516053035283807,Delayed,June,2025,Sufficient
ORD00003,2024-08-08,2024-08-24,North,UAE,Hyderabad,Printer,Supplier C,Warehouse 3,7,289,2023,129.86,1027.06,866.08,14,135,55,No,3.08,In Transit,16,42.81166584280771,Delayed,August,2024,Sufficient
ORD00004,2025-09-25,2025-10-12,North,UAE,Delhi,Monitor,Supplier C,Warehouse 1,37,493,18241,1703.92,7547.16,8989.92,15,148,60,No,2.21,Pending,17,49.28414012389672,Delayed,September,2025,Sufficient
ORD00005,2025-01-14,2025-01-22,South,UAE,Bangalore,Tablet,Supplier B,Warehouse 3,43,646,27778,2587.9,16807.48,8382.62,7,325,71,No,1.04,Pending,8,30.177190582475344,On Time,January,2025,Sufficient
ORD00006,2024-11-28,2024-12-13,South,UAE,Bangalore,Keyboard,Supplier D,Warehouse 1,15,1783,26745,879.62,13229.04,12636.34,15,108,122,Yes,2.51,Cancelled,15,47.24748551131053,Delayed,November,2024,Low Stock
ORD00007,2024-09-28,2024-10-03,South,USA,Chennai,Monitor,Supplier A,Warehouse 1,48,1249,59952,4706.71,37416.29,17829.0,4,298,101,No,3.71,Cancelled,5,29.738791032826263,On Time,September,2024,Sufficient
ORD00008,2024-04-22,2024-05-01,North,India,Chennai,Tablet,Supplier C,Warehouse 1,11,1722,18942,1728.33,10965.95,6247.72,4,305,109,No,3.39,Cancelled,9,32.98342308098406,On Time,April,2024,Sufficient
ORD00009,2024-10-27,2024-11-05,North,Germany,Chennai,Printer,Supplier B,Warehouse 1,30,106,3180,368.38,2107.56,704.06,8,256,147,No,2.48,Pending,9,22.140251572327042,On Time,October,2024,Sufficient
ORD00010,2025-01-17,2025-02-01,East,Germany,Mumbai,Laptop,Supplier B,Warehouse 3,35,1694,59290,6700.9,40053.24,12535.86,14,250,52,No,4.99,Delivered,15,21.14329566537359,Delayed,January,2025,Sufficient
ORD00011,2024-03-21,2024-03-29,South,Germany,Chennai,Printer,Supplier D,Warehouse 1,32,1771,56672,2053.18,35600.25,19018.57,3,65,134,Yes,6.24,In Transit,8,33.5590238565782,On Time,March,2024,Low Stock
ORD00012,2025-07-06,2025-07-25,North,USA,Mumbai,Laptop,Supplier C,Warehouse 1,45,511,22995,2165.33,11950.45,8879.22,14,191,106,No,5.54,In Transit,19,38.61369863013698,Delayed,July,2025,Sufficient
ORD00013,2025-08-25,2025-09-05,North,USA,Delhi,Keyboard,Supplier D,Warehouse 1,38,551,20938,641.69,12821.43,7474.88,10,34,54,Yes,0.94,Cancelled,11,35.700066864074884,Delayed,August,2025,Low Stock
ORD00014,2025-07-06,2025-07-15,West,Germany,Bangalore,Monitor,Supplier D,Warehouse 3,37,1280,47360,3435.51,30091.87,13832.62,4,97,62,No,6.56,Delivered,9,29.207390202702705,On Time,July,2025,Sufficient
ORD00015,2024-02-25,2024-03-13,South,UAE,Mumbai,Monitor,Supplier B,Warehouse 2,42,301,12642,448.22,7818.62,4375.16,12,55,81,Yes,6.5,Pending,17,34.608131624742924,Delayed,February,2024,Low Stock
ORD00016,2025-04-18,2025-04-23,South,USA,Bangalore,Monitor,Supplier D,Warehouse 1,29,1754,50866,5469.18,28744.25,16652.57,5,276,51,No,0.88,Delivered,5,32.73811583375929,On Time,April,2025,Sufficient
ORD00017,2025-02-14,2025-02-17,West,USA,Mumbai,Tablet,Supplier B,Warehouse 1,25,104,2600,308.56,1246.86,1044.58,2,232,86,No,6.38,In Transit,3,40.176153846153845,On Time,February,2025,Sufficient
ORD00018,2025-08-16,2025-09-02,North,India,Mumbai,Laptop,Supplier A,Warehouse 3,4,1631,6524,379.86,2707.74,3436.4,13,470,117,No,4.08,Pending,17,52.67320662170448,Delayed,August,2025,Sufficient
ORD00019,2024-08-28,2024-09-05,East,USA,Delhi,Phone,Supplier C,Warehouse 2,37,604,22348,1834.83,9205.64,11307.53,8,336,124,No,1.11,Cancelled,8,50.59750313227135,On Time,August,2024,Sufficient
ORD00020,2024-05-14,2024-05-31,North,USA,Chennai,Tablet,Supplier B,Warehouse 2,20,1036,20720,1211.21,12961.59,6547.2,12,234,129,No,1.04,Delivered,17,31.5984555984556,Delayed,May,2024,Sufficient
ORD00021,2024-03-11,2024-03-18,East,India,Mumbai,Tablet,Supplier A,Warehouse 1,19,423,8037,558.06,4524.55,2954.39,5,413,133,No,2.77,Delivered,7,36.7598606445191,On Time,March,2024,Sufficient
ORD00022,2025-07-20,2025-07-26,East,India,Hyderabad,Keyboard,Supplier D,Warehouse 2,19,1338,25422,1244.58,12783.81,11393.61,4,436,83,No,5.66,In Transit,6,44.817913618126035,On Time,July,2025,Sufficient
ORD00023,2024-02-15,2024-02-19,North,India,Hyderabad,Keyboard,Supplier B,Warehouse 3,50,367,18350,1602.69,8782.06,7965.25,2,282,140,No,6.06,In Transit,4,43.40735694822888,On Time,February,2024,Sufficient
ORD00024,2024-02-06,2024-02-23,South,USA,Hyderabad,Tablet,Supplier D,Warehouse 3,38,1231,46778,2026.82,20499.69,24251.49,15,460,55,No,2.81,Cancelled,17,51.843794091239474,Delayed,February,2024,Sufficient
ORD00025,2024-06-07,2024-06-13,East,USA,Hyderabad,Monitor,Supplier A,Warehouse 2,12,1905,22860,1534.05,10374.06,10951.89,5,400,102,No,7.43,Pending,6,47.90853018372703,On Time,June,2024,Sufficient
ORD00026,2024-08-15,2024-08-23,East,Germany,Hyderabad,Tablet,Supplier C,Warehouse 3,23,725,16675,1731.67,11028.79,3914.54,5,337,74,No,2.17,In Transit,8,23.475502248875564,On Time,August,2024,Sufficient
ORD00027,2025-06-05,2025-06-18,North,India,Chennai,Monitor,Supplier C,Warehouse 3,35,778,27230,3118.69,11834.23,12277.08,8,91,124,Yes,7.78,Cancelled,13,45.086595666544255,Delayed,June,2025,Low Stock
ORD00028,2024-11-17,2024-11-29,South,Germany,Bangalore,Laptop,Supplier C,Warehouse 3,33,336,11088,717.03,6353.16,4017.81,8,362,105,No,2.41,Delivered,12,36.23566017316017,Delayed,November,2024,Sufficient
ORD00029,2024-11-17,2024-11-29,South,USA,Bangalore,Keyboard,Supplier D,Warehouse 3,47,1943,91321,5207.95,45001.66,41111.39,12,206,139,No,3.56,Cancelled,12,45.01854995017575,Delayed,November,2024,Sufficient
ORD00030,2024-06-27,2024-07-12,West,UAE,Bangalore,Keyboard,Supplier B,Warehouse 3,20,931,18620,1476.83,7450.27,9692.9,11,220,150,No,2.65,Cancelled,15,52.05639097744361,Delayed,June,2024,Sufficient
ORD00031,2025-04-29,2025-05-18,East,USA,Mumbai,Phone,Supplier A,Warehouse 1,11,1449,15939,599.81,8840.34,6498.85,14,171,61,No,5.25,Pending,19,40.77326055586926,Delayed,April,2025,Sufficient
ORD00032,2024-09-07,2024-09-20,West,UAE,Mumbai,Phone,Supplier A,Warehouse 1,50,249,12450,883.79,8289.72,3276.49,9,367,139,No,4.82,In Transit,13,26.317188755020076,Delayed,September,2024,Sufficient
ORD00033,2025-03-11,2025-03-17,West,Germany,Bangalore,Printer,Supplier D,Warehouse 3,45,1160,52200,3748.46,29608.97,18842.57,5,62,108,Yes,7.38,Pending,6,36.09687739463601,On Time,March,2025,Low Stock
ORD00034,2025-04-01,2025-04-10,South,Germany,Bangalore,Laptop,Supplier C,Warehouse 1,31,1021,31651,1687.86,15008.02,14955.12,4,392,149,No,5.28,In Transit,9,47.25007108780134,On Time,April,2025,Sufficient
ORD00035,2024-10-05,2024-10-14,West,UAE,Delhi,Printer,Supplier D,Warehouse 2,35,265,9275,393.76,4353.49,4527.75,7,361,77,No,5.7,Delivered,9,48.8167115902965,On Time,October,2024,Sufficient
ORD00036,2024-03-04,2024-03-12,West,India,Delhi,Tablet,Supplier D,Warehouse 2,25,1953,48825,4847.43,33387.44,10590.13,5,450,147,No,0.65,In Transit,8,21.689974398361496,On Time,March,2024,Sufficient
ORD00037,2025-07-05,2025-07-23,West,Germany,Bangalore,Keyboard,Supplier B,Warehouse 2,35,1738,60830,5127.53,28356.61,27345.86,13,223,112,No,2.15,Delivered,18,44.954561893802406,Delayed,July,2025,Sufficient
ORD00038,2024-05-10,2024-05-25,West,USA,Hyderabad,Tablet,Supplier D,Warehouse 2,2,1957,3914,256.22,2228.31,1429.47,11,329,104,No,0.7,Pending,15,36.52197240674502,Delayed,May,2024,Sufficient
ORD00039,2024-08-04,2024-08-15,West,India,Chennai,Laptop,Supplier C,Warehouse 1,22,1658,36476,3982.0,17635.31,14858.69,9,215,82,No,7.63,Delivered,11,40.735524728588665,Delayed,August,2024,Sufficient
ORD00040,2025-10-27,2025-11-04,South,UAE,Hyderabad,Printer,Supplier B,Warehouse 2,3,1644,4932,161.73,2338.68,2431.59,3,318,69,No,6.79,Pending,8,49.302311435523116,On Time,October,2025,Sufficient
ORD00041,2025-12-17,2025-12-25,North,India,Delhi,Printer,Supplier D,Warehouse 2,11,1340,14740,1247.77,9203.33,4288.9,6,419,70,No,1.36,Cancelled,8,29.09701492537313,On Time,December,2025,Sufficient
ORD00042,2024-07-22,2024-07-29,North,Germany,Chennai,Monitor,Supplier C,Warehouse 1,45,1801,81045,7006.49,34895.58,39142.93,3,435,137,No,6.29,Delivered,7,48.29777284224813,On Time,July,2024,Sufficient
ORD00043,2025-06-02,2025-06-16,South,UAE,Mumbai,Keyboard,Supplier C,Warehouse 3,1,1839,1839,124.69,1006.04,708.27,12,185,131,No,3.75,In Transit,14,38.51386623164763,Delayed,June,2025,Sufficient
ORD00044,2025-07-05,2025-07-22,West,USA,Bangalore,Printer,Supplier D,Warehouse 2,30,992,29760,3104.45,17193.61,9461.94,14,125,61,No,2.92,Cancelled,17,31.794153225806454,Delayed,July,2025,Sufficient
ORD00045,2024-01-30,2024-02-10,North,USA,Hyderabad,Phone,Supplier D,Warehouse 2,12,1098,13176,646.82,8424.07,4105.11,9,450,126,No,3.05,Cancelled,11,31.155965391621127,Delayed,January,2024,Sufficient
ORD00046,2025-07-22,2025-08-06,West,USA,Delhi,Keyboard,Supplier C,Warehouse 2,45,1075,48375,4263.35,26473.04,17638.61,14,47,87,Yes,6.45,Pending,15,36.46224289405685,Delayed,July,2025,Low Stock
ORD00047,2025-07-20,2025-08-01,North,USA,Delhi,Laptop,Supplier B,Warehouse 1,28,1627,45556,3623.29,23030.52,18902.19,10,156,82,No,3.9,Pending,12,41.4922073930986,Delayed,July,2025,Sufficient
ORD00048,2024-08-09,2024-08-25,South,Germany,Mumbai,Tablet,Supplier A,Warehouse 3,18,1583,28494,2366.79,17896.01,8231.2,13,51,74,Yes,4.98,Cancelled,16,28.88748508457921,Delayed,August,2024,Low Stock
ORD00049,2025-06-30,2025-07-06,North,India,Chennai,Tablet,Supplier D,Warehouse 2,3,211,633,50.51,385.64,196.85,4,444,146,No,1.45,In Transit,6,31.097946287519747,On Time,June,2025,Sufficient
ORD00050,2025-03-27,2025-04-04,North,USA,Mumbai,Printer,Supplier C,Warehouse 1,4,617,2468,283.07,1340.91,844.02,7,205,112,No,6.67,Delivered,8,34.19854132901135,On Time,March,2025,Sufficient
ORD00051,2024-09-11,2024-09-18,West,Germany,Chennai,Monitor,Supplier C,Warehouse 3,49,952,46648,3944.96,29725.14,12977.9,3,267,98,No,2.19,In Transit,7,27.82091407991768,On Time,September,2024,Sufficient
ORD00052,2025-09-27,2025-10-03,South,USA,Chennai,Laptop,Supplier B,Warehouse 1,48,303,14544,1676.68,6724.22,6143.1,2,338,60,No,2.08,Pending,6,42.238036303630366,On Time,September,2025,Sufficient
ORD00053,2025-02-22,2025-03-08,South,Germany,Chennai,Keyboard,Supplier B,Warehouse 2,39,1062,41418,2328.24,19443.38,19646.38,9,359,108,No,5.8,Delivered,14,47.434400502197114,Delayed,February,2025,Sufficient
ORD00054,2024-04-27,2024-05-08,West,India,Bangalore,Keyboard,Supplier C,Warehouse 3,42,405,17010,1900.99,11022.3,4086.71,10,84,89,Yes,1.04,Cancelled,11,24.02533803644915,Delayed,April,2024,Low Stock
ORD00055,2025-02-16,2025-02-26,North,India,Mumbai,Keyboard,Supplier A,Warehouse 3,35,1111,38885,2698.55,22530.4,13656.05,6,376,91,No,7.17,Cancelled,10,35.11906904976212,On Time,February,2025,Sufficient
ORD00056,2024-10-02,2024-10-13,West,India,Bangalore,Tablet,Supplier D,Warehouse 2,49,1648,80752,3695.79,44873.01,32183.2,11,142,73,No,3.82,In Transit,11,39.85436893203884,Delayed,October,2024,Sufficient
ORD00057,2024-11-24,2024-12-06,West,India,Delhi,Tablet,Supplier C,Warehouse 1,11,775,8525,571.58,4677.16,3276.26,12,205,147,No,5.47,Delivered,12,38.43120234604106,Delayed,November,2024,Sufficient
ORD00058,2025-02-17,2025-03-08,West,India,Mumbai,Tablet,Supplier B,Warehouse 2,1,1446,1446,156.52,778.81,510.67,15,265,96,No,0.91,In Transit,19,35.31604426002766,Delayed,February,2025,Sufficient
ORD00059,2025-03-24,2025-04-09,West,India,Mumbai,Laptop,Supplier D,Warehouse 1,8,159,1272,149.57,741.15,381.28,13,81,89,Yes,2.29,Delivered,16,29.974842767295595,Delayed,March,2025,Low Stock
